,Title,Price,Location,Description,Link
384,Beamer Personal Micro projektor LED 2 NEU,55,13125 Pankow,"Der Beamer ist unbenutzt jedes Teil Originalverpackt
Die Daten siehe bitte Fotos",https://www.kleinanzeigen.de//s-anzeige/beamer-personal-micro-projektor-led-2-neu/2474419872-168-3466
319,Anders + Kern AstroBeam X167 Beamer mit viel Zubehör,55,13629 Charlottenburg,Anders + Kern AstroBeam X167 Beamer mit viel Zubehör,https://www.kleinanzeigen.de//s-anzeige/anders-kern-astrobeam-x167-beamer-mit-viel-zubehoer/2553312369-168-3334
104,Anders + Kern AstroBeam X167 Beamer mit viel Zubehör,55,13629 Charlottenburg,Anders + Kern AstroBeam X167 Beamer mit viel Zubehör,https://www.kleinanzeigen.de//s-anzeige/anders-kern-astrobeam-x167-beamer-mit-viel-zubehoer/2598494609-168-3334
101,Beamer Siehe bilder,60,13593 Spandau,Siehe Bilder,https://www.kleinanzeigen.de//s-anzeige/beamer-siehe-bilder/2598857286-175-3435
173,Elephas YG420 Projektor / Beamer,60,10247 Friedrichshain,"Verkaufe einen Elephas YG420 Projektor in gutem Zustand.
Integrierte Lautsprecher, Verbindung mit...",https://www.kleinanzeigen.de//s-anzeige/elephas-yg420-projektor-beamer/2587029688-175-3353
178,BEAMER SIEHE BILDER,60,13593 Spandau,Voll funktionsfähig steht bei uns nur rum circa 10 mal genutzt,https://www.kleinanzeigen.de//s-anzeige/beamer-siehe-bilder/2586171654-175-3435
186,Beamer Siehe bilder,60,13593 Spandau,Steht bei uns nur rum,https://www.kleinanzeigen.de//s-anzeige/beamer-siehe-bilder/2585165897-175-3435
62,General All Glass Sealed Beam Lamp + Bühnenscheinwerfer Kremesa,60,12161 Friedenau,Die beiden Beamerlampen sind noch original verpackt. (wurden nur zum Fotografieren aus der Packung...,https://www.kleinanzeigen.de//s-anzeige/general-all-glass-sealed-beam-lamp-buehnenscheinwerfer-kremesa/2602500198-240-17084
107,Beamer KINDERMANN KX 5050W voll funktionsfähig,60,12161 Friedenau,"Zum Verkauf steht ein Beamer von Kindermann, das Modell KX 5050W.

Der Beamer ist gebraucht, jedoch...",https://www.kleinanzeigen.de//s-anzeige/beamer-kindermann-kx-5050w-voll-funktionsfaehig/2598289476-175-17084
161,LCD Beamer Actopp GP80 - neu Weihnachtsfilme in groß? Geschenk?,60,12163 Steglitz,"Sehr guter Zustand , leicht zu bedienen
Sehr schönes Geschenk fürs Heimkino
Sie wollen keinen...",https://www.kleinanzeigen.de//s-anzeige/lcd-beamer-actopp-gp80-neu-weihnachtsfilme-in-gross-geschenk-/2589928282-168-3426
334,LESHP Beamer,65,12051 Neukölln,Ich biete diesen funktionsfähigen simplen Beamer mit Netzkabel. Folgende technische...,https://www.kleinanzeigen.de//s-anzeige/leshp-beamer/2537080228-175-3393
211,TOPVISION 1080P Beamer / Projector mit OVP,65,12053 Neukölln,"Der Projektor funktioniert gut keine Probleme verkaufen, wie ich es nicht mehr...",https://www.kleinanzeigen.de//s-anzeige/topvision-1080p-beamer-projector-mit-ovp/2580392228-175-3391
220,Race Face Atlas Fr I-Beam Sattel !!!NEU!!!,65,12047 Neukölln,"Hallo,

biete zum Kauf einen neuen Race Face Atlas Fr an.
Überall ausverkauft, denke solch Zustand...",https://www.kleinanzeigen.de//s-anzeige/race-face-atlas-fr-i-beam-sattel-neu-/2578405872-217-3395
135,Beamer zu verkaufen,69,14169 Zehlendorf,"Beamer, Projektor zu verkaufen",https://www.kleinanzeigen.de//s-anzeige/beamer-zu-verkaufen/2593139604-175-3529
192,ABOX A2 HD LED Beamer FULL HD LED HIFI Lautsprecher HDMI/VGA/AV,69,12051 Neukölln,"Restposten-Berlin

Schierker Str.33-34

12051 Berlin

Mo - Fr 10:30 -19 Uhr

Sa 10:30 - 17...",https://www.kleinanzeigen.de//s-anzeige/abox-a2-hd-led-beamer-full-hd-led-hifi-lautsprecher-hdmi-vga-av/2505871216-175-3393
191,LED Beamer FULL HD LED HIFI Lautsprecher HDMI/VGA/AV ABOX A2 HD,69,12051 Neukölln,"Restposten-Berlin

Schierker Str.33-34

12051 Berlin

Mo - Fr 10:30 -19 Uhr

Sa 10:30 - 17...",https://www.kleinanzeigen.de//s-anzeige/led-beamer-full-hd-led-hifi-lautsprecher-hdmi-vga-av-abox-a2-hd/2505863131-175-3393
322,BEAMER ivolum LED HBP-3000,70,12439 Treptow,"Hallo!

Ich verkaufe meinen ungenutzten originalverpackten LED-Beamer.
Die Verpackung wurde nie...",https://www.kleinanzeigen.de//s-anzeige/beamer-ivolum-led-hbp-3000/2552236593-175-9659
34,Beamer zu verkaufen,70,14059 Charlottenburg,"Ich verkaufe diesen kaum benutzten Beamer.
Er hat 7500 Lum, VILINICE Native 1080P und Full HD.
Er...",https://www.kleinanzeigen.de//s-anzeige/beamer-zu-verkaufen/2605122449-168-3335
353,infrarot beam gun set,70,13357 Mitte,infrarot beam gun set von playtastic sehr gut erhalten!,https://www.kleinanzeigen.de//s-anzeige/infrarot-beam-gun-set/2514990538-23-9677
149,Fernseher.Amazon tv cube.lenova tablet.beamer,70,13593 Spandau,"Bild 1-2 fernseher 102 cm 60 Euro
Bild 3-4 Amazon tv cube 60 Euro
Bild 5-6 Lenova Tablett tab2 70...",https://www.kleinanzeigen.de//s-anzeige/fernseher-amazon-tv-cube-lenova-tablet-beamer/2591540143-175-3435
284,Beamer Siehe bilder,70,13593 Spandau,Siehe Bilder voll funktionsfähig,https://www.kleinanzeigen.de//s-anzeige/beamer-siehe-bilder/2561445926-175-3435
170,Projektor / Beamer,70,12679 Marzahn,"Hallo, ich verkaufe hier meinen Projektor den ich selten benutzt haben. Er läuft einwandfrei und...",https://www.kleinanzeigen.de//s-anzeige/projektor-beamer/2587661735-175-3381
377,Celexon Beamer FHD5000 Neu,74,13585 Spandau,Hallöchen biete diesen Beamer an hab ihn nur 1x provisorisch getestet und er Funktioniert Top...,https://www.kleinanzeigen.de//s-anzeige/celexon-beamer-fhd5000-neu/2489927204-175-3438
326,Tragbarer Beamer,75,13055 Hohenschönhausen,"Verkaufe meinen nicht benutzen Beamer. Er wurde einmal ausgepackt und angeschlossen, danach kam er...",https://www.kleinanzeigen.de//s-anzeige/tragbarer-beamer/2551657242-175-3358
139,HAY Garderobe Beam 60 cm rot,79,10829 Schöneberg,"Ich verkaufe eine Garderobenleiste von HAY Design: Studio Big-Game
Aluminium und Eschenholz
60 cm...",https://www.kleinanzeigen.de//s-anzeige/hay-garderobe-beam-60-cm-rot/2592739010-87-3446
55,Magcubic HY300 Tragbarer Projektor 4K Beamer WiFi 6 Bluetooth 5.0,85,10245 Friedrichshain,"Magcubic HY300 Tragbarer Projektor 4K Beamer WiFi 6 Bluetooth 5.0 Auflösung von 1280*720,...",https://www.kleinanzeigen.de//s-anzeige/magcubic-hy300-tragbarer-projektor-4k-beamer-wifi-6-bluetooth-5-0/2602939607-175-3352
155,"Ccliffe Beamer Projektionswand mit Motor, 172×172cm Fläche",85,10245 Friedrichshain,"Nur einmal kurz aufgehängt und getestet. Tolles Teil, aber für unseren Fall dann leider doch nicht...",https://www.kleinanzeigen.de//s-anzeige/ccliffe-beamer-projektionswand-mit-motor-172-172cm-flaeche/2591010923-175-3352
475,Heimkino Beamer,90,10555 Tiergarten,"MediaLy LED Beamer G150X - Heimkino Projektor
800x600 Pixel Native Auflösung HDMI Auflösung bis...",https://www.kleinanzeigen.de//s-anzeige/heimkino-beamer/1997018675-175-3500
106,"Heimkino Beamer, native 1080p, OVP",95,13439 Reinickendorf,"Festpreis
Kein Tausch
So lange die Anzeige zu sehen ist, ist es auch zu haben.

TOPVISION Heimkino...",https://www.kleinanzeigen.de//s-anzeige/heimkino-beamer-native-1080p-ovp/2598308207-175-3459
58,"Beamer, Heimkino, native 1080p, OVP",95,13439 Reinickendorf,"Festpreis
Kein Tausch
So lange die Anzeige zu sehen ist, ist es auch zu haben.

TOPVISION Heimkino...",https://www.kleinanzeigen.de//s-anzeige/beamer-heimkino-native-1080p-ovp/2602855607-175-3459
97,Beamer 1080p mit WiFi und Bluetooth,99,10117 Mitte,"Nur einmal ausgepackt neu

Projektor mit WiFi und Bluetooth, Outdoor Portable Mini Projektoren...",https://www.kleinanzeigen.de//s-anzeige/beamer-1080p-mit-wifi-und-bluetooth/2599262403-175-3520
306,Kurzdistanz Beamer uf70,100,12683 Biesdorf,"Verkauft wird ein UF70 Kurzdistanz Beamer
Zustand Gebraucht und funktionstüchtig
Für Fragen gerne...",https://www.kleinanzeigen.de//s-anzeige/kurzdistanz-beamer-uf70/2555407213-175-19394
239,Beamer abzugeben für wenig geld,100,12559 Köpenick,"Der Beamer hat ein nagelneues Leuchtmittel (120euro neupreis)
Er ist etwas eingestaubt funktioniert...",https://www.kleinanzeigen.de//s-anzeige/beamer-abzugeben-fuer-wenig-geld/2574096757-175-3364
73,Wimius K5 Beamer Projektor,100,10117 Mitte,"Verbindung über Wifi/Bluetooth, Auflösung 1080*720P, Kompatibel mit Lautsprechern, Apple,...",https://www.kleinanzeigen.de//s-anzeige/wimius-k5-beamer-projektor/2601549775-175-3520
289,BOSNAS Beamer Native 1080p 9000 Lux 4K,100,14089 Kladow,Biete einen Beamer mit einem Fehler im unteren Bild/Linse/Lampe den ich mir nicht...,https://www.kleinanzeigen.de//s-anzeige/bosnas-beamer-native-1080p-9000-lux-4k/2560122257-175-23977
256,Beamer / projektor and screen 100 EUR,100,12051 Neukölln,"Beamer, used for a year and a half and now not needed due to moving to a flat with a large tv,...",https://www.kleinanzeigen.de//s-anzeige/beamer-projektor-and-screen-100-eur/2569116861-175-3393
150,Originalverpackter Beamer von Dr. Q,100,12049 Neukölln,"Beamer in Topzustand, wie neu!
Alles originalverpackt.

Neupreis 180€

Ich gebe ihn ab, weil wir...",https://www.kleinanzeigen.de//s-anzeige/originalverpackter-beamer-von-dr-q/2591501886-175-3396
275,Portable LED Beamer neu mit Originalkarton,100,10827 Schöneberg,"Biete einen neuen unbenutzten LED Beamer an
Full HD
Mit Fernbedienung
Abholung bei mir oder Versand...",https://www.kleinanzeigen.de//s-anzeige/portable-led-beamer-neu-mit-originalkarton/2563959250-175-3447
228,GEHA compact 145 LCD Projektor (Beamer),110,10961 Kreuzberg,"mit Tasche, technisch und optisch einwandfrei.",https://www.kleinanzeigen.de//s-anzeige/geha-compact-145-lcd-projektor-beamer-/2577200515-168-3377
108,Beamer beno,120,13349 Wedding,Ist gut erhalten,https://www.kleinanzeigen.de//s-anzeige/beamer-beno/2598282876-175-3509
30,SceneLights LED/LCD-Beamer LB-720.HD nur 4 bis 5 mal benutzt neuw,120,10559 Tiergarten,"biete mein neuwertigen beamer von pearl an,neupreiss war 299 euro er ist nur 4 bis 5 mal für büro...",https://www.kleinanzeigen.de//s-anzeige/scenelights-led-lcd-beamer-lb-720-hd-nur-4-bis-5-mal-benutzt-neuw/2605384259-175-9664
383,1080 HD Projector/ Beamer,120,10365 Lichtenberg,"1080 HD Projector. Neu und unbenutzt.
Der neue Preis beträgt 270 Euro.",https://www.kleinanzeigen.de//s-anzeige/1080-hd-projector-beamer/2474469349-175-3545
40,Dschungelkino: Echter Baumstamm als Beamer-Halterung,130,12163 Steglitz,Mein Sohn hatte sich einen Dschungelkino gewünscht und da wollte ich möglichst wenig Technik...,https://www.kleinanzeigen.de//s-anzeige/dschungelkino-echter-baumstamm-als-beamer-halterung/2604838713-246-3426
218,"Beamer 5G WiFi Bluetooth 5.1 Projektor, 9800-Lumen-Upgrade",139,10627 Charlottenburg,"[Stabil und flexibel mit WIFI-Technologie] - Ausgestattet mit Dual-Band (2,4G oder 5G)...",https://www.kleinanzeigen.de//s-anzeige/beamer-5g-wifi-bluetooth-5-1-projektor-9800-lumen-upgrade/2500059412-175-3343
193,Beamer Auna DLP-4500-HD 400 Weiß + Tripod + HDMI Apple cable,140,10405 Prenzlauer Berg,"Great little beamer. Working fine. Test possible at my place.

Comes with the box, remote, Hama...",https://www.kleinanzeigen.de//s-anzeige/beamer-auna-dlp-4500-hd-400-weiss-tripod-hdmi-apple-cable/2584389903-175-3492
431,Nebula Prizm 2 Beamer FullHD|,140,13585 Spandau,"Nebula Prizm 2 Beamer FullHD Neuwertig mit Zubehör

Ist vlt 20 Stunden gelaufen habe ihn aber jetzt...",https://www.kleinanzeigen.de//s-anzeige/nebula-prizm-2-beamer-fullhd-/2357780804-245-3438
261,"Clarks Wallabee Boot GTX x Beams in dunkelblau Wildleder Gr.44,5",145,12053 Neukölln,Clarks Wallabee Gore-Tex Collaboration mit Beams in einem dunkelblauen Wildleder worunter eine...,https://www.kleinanzeigen.de//s-anzeige/clarks-wallabee-boot-gtx-x-beams-in-dunkelblau-wildleder-gr-44-5/2567389327-158-3391
96,Beamer 1080p Full HD wlan Bluetooth,149,10969 Kreuzberg,"Native 1080P Mini-Projektor mit 100 Zoll Außenprojektor-Leinwand, kompatibel mit...",https://www.kleinanzeigen.de//s-anzeige/beamer-1080p-full-hd-wlan-bluetooth/2599268690-175-9632
370,Kurzdistanz Beamer UF70,150,12353 Neukölln,"Verkaufe Kurzdistanz Beamer gebraucht
Ohne Zubehör
Keine Gewährleistung auf die Technik",https://www.kleinanzeigen.de//s-anzeige/kurzdistanz-beamer-uf70/2504749590-175-3388
119,Beamer Xuan PAD 2023,150,12629 Hellersdorf,"Beamer, XuanPad 2023 Verbesserter Nativer 1080P 5G WiFi Bluetooth Beamer 4K unterstützt, 6D/4P...",https://www.kleinanzeigen.de//s-anzeige/beamer-xuan-pad-2023/2596425931-175-3515
288,Amazon Beamer,150,10179 Mitte,Ich verkaufe hier meinen Beamer der ca ein Jahr alt ist. Er ist in einwandfreiem Zustand und wird...,https://www.kleinanzeigen.de//s-anzeige/amazon-beamer/2560270683-175-3521
213,"Sweeper Beam 180W, Lichteffekt, Disko",169,10117 Mitte,"Sweeper Beam in technisch einwandfreiem Zustand.
Optisch gibt es einen kl. Gehäusebeschädigung,...",https://www.kleinanzeigen.de//s-anzeige/sweeper-beam-180w-lichteffekt-disko/2579985978-168-3520
241,LED LCD Beamer mit Mediaplayer,170,12459 Köpenick,"NO 600€, Beschreibung im Foto",https://www.kleinanzeigen.de//s-anzeige/led-lcd-beamer-mit-mediaplayer/2573936833-175-9628
27,New Balance M920PPB Paperboy Beams,175,12555 Köpenick,"Verkaufe hier neue ungetragene Sneaker, limitierte Sonderedition. Neupreis EUR 229. Im Karton mit...",https://www.kleinanzeigen.de//s-anzeige/new-balance-m920ppb-paperboy-beams/2605849908-158-3365
441,Dimond Beamer Lamp 2x Lampe Paar Ersatzlampen für Projektor PT-D7,180,10785 Tiergarten,"Dimond Beamer Lamp 2x Lampe Paar Ersatzlampen für Projektor PT-D7700 E860
Beamer bulb lamp
für...",https://www.kleinanzeigen.de//s-anzeige/dimond-beamer-lamp-2x-lampe-paar-ersatzlampen-fuer-projektor-pt-d7/2306684065-175-3498
183,Beamer 1080p 60fps neu,180,10997 Kreuzberg,"Beamer with WiFi Bluetooth, Mini Outdoor/Home Video Beamer Full HD Native 1080P Tragbar...",https://www.kleinanzeigen.de//s-anzeige/beamer-1080p-60fps-neu/2585677474-175-3401
32,Nebula Beamer,195,12683 Biesdorf,"Beamer von der Firma Nebula. Der kleine ist nur so groß wie eine 0,33l Coladose. Hat aber...",https://www.kleinanzeigen.de//s-anzeige/nebula-beamer/2605265463-175-19394
14,LED FULL HD 1080 P HEIMKINO BEAMER ❤️ in FOLIE / KARTON * NEU *,199,13405 Reinickendorf,"LED FULL HD 1080 P HEIMKINO BEAMER ❤️ in FOLIE / KARTON * NEU *

HEIMKINO Film Abend, Formel...",https://www.kleinanzeigen.de//s-anzeige/led-full-hd-1080-p-heimkino-beamer-in-folie-karton-neu-/2607584031-175-3461
229,Artlii Wi-Fi Beamer Android 9.0 - Artlii Projector,200,10437 Prenzlauer Berg,"Barely used Artlii projector, with original packaging
Incl. remote control, 1 power cable, 1 hdmi...",https://www.kleinanzeigen.de//s-anzeige/artlii-wi-fi-beamer-android-9-0-artlii-projector/2576999504-175-3491
209,Beamer sehr guter Zustand,200,12305 Tempelhof,Mit Halterung,https://www.kleinanzeigen.de//s-anzeige/beamer-sehr-guter-zustand/2580918953-172-3410
197,Kurzdistanz Beamer ust-w,200,12683 Biesdorf,"Verkaufe 4 Kurzdistanz Beamer
Projektor: UST-W
Model PJ3000

Lampen Lebensdauer und Preise

1. 1451...",https://www.kleinanzeigen.de//s-anzeige/kurzdistanz-beamer-ust-w/2583640255-175-19394
117,Hochwertiger Beamer Projector Wandprojektor,200,12099 Tempelhof,"Hochwertiger Beamer
Wandprojektor

Eine neue Lampe wurde kürzlich eingebaut, diese war allein schon...",https://www.kleinanzeigen.de//s-anzeige/hochwertiger-beamer-projector-wandprojektor/2596756531-175-3409
74,WiMiUS HD Bluetooth LED Beamer (Black),225,10437 Prenzlauer Berg,"Mint condition, lightly used WiMiUS Beamer for pickup. Resolution of 1920 x 1080P, supports 4K...",https://www.kleinanzeigen.de//s-anzeige/wimius-hd-bluetooth-led-beamer-black-/2601510166-175-3491
281,"La Vague „LV HD 400“ LED-Beamer, NP 499 EUR",245,10557 Mitte,"Verkaufe funktionsfähigen LED-Beamer der Marke La Vague, NP: 499 EUR

Weitere Infos:...",https://www.kleinanzeigen.de//s-anzeige/la-vague-lv-hd-400-led-beamer-np-499-eur/2561776429-175-9672
